soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
35-2021.00,Service,Food preparation and serving related occupations,Cooks and food preparation workers,Cooks and food preparation workers,26,Food preparation workers,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",871.1,939.8,68.7,7.9,0.6,157.7,21440,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-2021.00',","'Service',","'Food preparation and serving related occupations',","'Cooks and food preparation workers',","'Cooks and food preparation workers',","'26',","'Food preparation workers',","'Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.',","'871.1',","'939.8',","'68.7',","'7.9',","'0.6',","'157.7',","'21440',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-3011.00,Service,Food preparation and serving related occupations,Food and beverage serving workers,Food and beverage serving workers,27,Bartenders,"Mix and serve drinks to patrons, directly or through waitstaff.",611.2,626.3,15.1,2.5,0.3,102.3,20800,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-3011.00',","'Service',","'Food preparation and serving related occupations',","'Food and beverage serving workers',","'Food and beverage serving workers',","'27',","'Bartenders',","'Mix and serve drinks to patrons, directly or through waitstaff.',","'611.2',","'626.3',","'15.1',","'2.5',","'0.3',","'102.3',","'20800',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-3021.00,Service,Food preparation and serving related occupations,Food and beverage serving workers,Food and beverage serving workers,27,"Combined food preparation and serving workers, including fast food",Perform duties which combine preparing and serving food and nonalcoholic beverages.,3452.2,4032.1,579.9,16.8,0.1,736,19440,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-3021.00',","'Service',","'Food preparation and serving related occupations',","'Food and beverage serving workers',","'Food and beverage serving workers',","'27',","'Combined food preparation and serving workers, including fast food',","'Perform duties which combine preparing and serving food and nonalcoholic beverages.',","'3452.2',","'4032.1',","'579.9',","'16.8',","'0.1',","'736',","'19440',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-3022.00,Service,Food preparation and serving related occupations,Food and beverage serving workers,Food and beverage serving workers,27,"Counter attendants, cafeteria, food concession, and coffee shop",Serve food to diners at counter or from a steam table.,505.2,528.4,23.2,4.6,0.5,113.2,19970,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-3022.00',","'Service',","'Food preparation and serving related occupations',","'Food and beverage serving workers',","'Food and beverage serving workers',","'27',","'Counter attendants, cafeteria, food concession, and coffee shop',","'Serve food to diners at counter or from a steam table.',","'505.2',","'528.4',","'23.2',","'4.6',","'0.5',","'113.2',","'19970',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-3031.00,Service,Food preparation and serving related occupations,Food and beverage serving workers,Food and beverage serving workers,27,Waiters and waitresses,Take orders and serve food and beverages to patrons at tables in dining establishment.,2600.5,2783,182.5,7,0.1,522.7,19990,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-3031.00',","'Service',","'Food preparation and serving related occupations',","'Food and beverage serving workers',","'Food and beverage serving workers',","'27',","'Waiters and waitresses',","'Take orders and serve food and beverages to patrons at tables in dining establishment.',","'2600.5',","'2783',","'182.5',","'7',","'0.1',","'522.7',","'19990',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-3041.00,Service,Food preparation and serving related occupations,Food and beverage serving workers,Food and beverage serving workers,27,"Food servers, nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.",263.8,290.7,26.9,10.2,0,43.1,21240,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-3041.00',","'Service',","'Food preparation and serving related occupations',","'Food and beverage serving workers',","'Food and beverage serving workers',","'27',","'Food servers, nonrestaurant',","'Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.',","'263.8',","'290.7',","'26.9',","'10.2',","'0',","'43.1',","'21240',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-9011.00,Service,Food preparation and serving related occupations,Other food preparation and serving related workers,Other food preparation and serving related workers,28,Dining room and cafeteria attendants and bartender helpers,"Facilitate food service. Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.",431.2,461.7,30.5,7.1,0.2,78.2,20200,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-9011.00',","'Service',","'Food preparation and serving related occupations',","'Other food preparation and serving related workers',","'Other food preparation and serving related workers',","'28',","'Dining room and cafeteria attendants and bartender helpers',","'Facilitate food service. Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.',","'431.2',","'461.7',","'30.5',","'7.1',","'0.2',","'78.2',","'20200',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-9021.00,Service,Food preparation and serving related occupations,Other food preparation and serving related workers,Other food preparation and serving related workers,28,Dishwashers,"Clean dishes, kitchen, food preparation equipment, or utensils.",514.3,536.6,22.2,4.3,0,83,20800,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-9021.00',","'Service',","'Food preparation and serving related occupations',","'Other food preparation and serving related workers',","'Other food preparation and serving related workers',","'28',","'Dishwashers',","'Clean dishes, kitchen, food preparation equipment, or utensils.',","'514.3',","'536.6',","'22.2',","'4.3',","'0',","'83',","'20800',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-9031.00,Service,Food preparation and serving related occupations,Other food preparation and serving related workers,Other food preparation and serving related workers,28,"Hosts and hostesses, restaurant, lounge, and coffee shop","Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.",409.2,437.5,28.3,6.9,0,97.9,19980,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-9031.00',","'Service',","'Food preparation and serving related occupations',","'Other food preparation and serving related workers',","'Other food preparation and serving related workers',","'28',","'Hosts and hostesses, restaurant, lounge, and coffee shop',","'Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.',","'409.2',","'437.5',","'28.3',","'6.9',","'0',","'97.9',","'19980',","'No formal educational credential',","'None',",'Short-term on-the-job training');
35-9099.00,Service,Food preparation and serving related occupations,Other food preparation and serving related workers,Other food preparation and serving related workers,28,"Food preparation and serving related workers, all other",All food preparation and serving related workers not listed separately.,60.9,66.5,5.6,9.3,0.2,11.3,21090,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'35-9099.00',","'Service',","'Food preparation and serving related occupations',","'Other food preparation and serving related workers',","'Other food preparation and serving related workers',","'28',","'Food preparation and serving related workers, all other',","'All food preparation and serving related workers not listed separately.',","'60.9',","'66.5',","'5.6',","'9.3',","'0.2',","'11.3',","'21090',","'No formal educational credential',","'None',",'Short-term on-the-job training');
37-1011.00,Engineering,Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers,Building and grounds cleaning and maintenance,29,First-line supervisors of housekeeping and janitorial workers,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.",243.5,264.4,20.9,8.6,29.3,30.3,38190,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-1011.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Supervisors of building and grounds cleaning and maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'First-line supervisors of housekeeping and janitorial workers',","'Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.',","'243.5',","'264.4',","'20.9',","'8.6',","'29.3',","'30.3',","'38190',","'High school diploma or equivalent',","'Less than 5 years',",'None');
37-1012.00,Engineering,Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers,Building and grounds cleaning and maintenance,29,"First-line supervisors of landscaping, lawn service, and groundskeeping workers","Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.",178.3,195.4,17.1,9.6,40.4,19,45740,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-1012.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Supervisors of building and grounds cleaning and maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'First-line supervisors of landscaping, lawn service, and groundskeeping workers',","'Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.',","'178.3',","'195.4',","'17.1',","'9.6',","'40.4',","'19',","'45740',","'High school diploma or equivalent',","'Less than 5 years',",'None');
37-2011.00,Engineering,Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers,Building and grounds cleaning and maintenance,29,"Janitors and cleaners, except maids and housekeeping cleaners","Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",2384.6,2617.7,233,9.8,3.8,343.5,24190,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-2011.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Building cleaning and pest control workers',","'Building and grounds cleaning and maintenance',","'29',","'Janitors and cleaners, except maids and housekeeping cleaners',","'Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.',","'2384.6',","'2617.7',","'233',","'9.8',","'3.8',","'343.5',","'24190',","'No formal educational credential',","'None',",'Short-term on-the-job training');
37-2012.00,Engineering,Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers,Building and grounds cleaning and maintenance,29,Maids and housekeeping cleaners,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.",1443.2,1523.6,80.4,5.6,12.3,200.8,21820,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-2012.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Building cleaning and pest control workers',","'Building and grounds cleaning and maintenance',","'29',","'Maids and housekeeping cleaners',","'Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.',","'1443.2',","'1523.6',","'80.4',","'5.6',","'12.3',","'200.8',","'21820',","'No formal educational credential',","'None',",'Short-term on-the-job training');
37-2019.00,Engineering,Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers,Building and grounds cleaning and maintenance,29,"Building cleaning workers, all other",All building cleaning workers not listed separately.,16.2,18.3,2,12.6,4.8,2.4,29700,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-2019.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Building cleaning and pest control workers',","'Building and grounds cleaning and maintenance',","'29',","'Building cleaning workers, all other',","'All building cleaning workers not listed separately.',","'16.2',","'18.3',","'2',","'12.6',","'4.8',","'2.4',","'29700',","'No formal educational credential',","'None',",'Short-term on-the-job training');
37-2021.00,Engineering,Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers,Building and grounds cleaning and maintenance,29,Pest control workers,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.,78.9,85.2,6.3,8,6.4,11.6,33040,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-2021.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Building cleaning and pest control workers',","'Building and grounds cleaning and maintenance',","'29',","'Pest control workers',","'Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.',","'78.9',","'85.2',","'6.3',","'8',","'6.4',","'11.6',","'33040',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
37-3011.00,Engineering,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Building and grounds cleaning and maintenance,29,Landscaping and groundskeeping workers,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.",1197.9,1321.2,123.3,10.3,21.9,161.1,26320,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-3011.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Grounds maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'Landscaping and groundskeeping workers',","'Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.',","'1197.9',","'1321.2',","'123.3',","'10.3',","'21.9',","'161.1',","'26320',","'No formal educational credential',","'None',",'Short-term on-the-job training');
37-3012.00,Engineering,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Building and grounds cleaning and maintenance,29,"Pesticide handlers, sprayers, and applicators, vegetation","Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification.",38,40.7,2.7,7,18.9,4.9,33740,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-3012.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Grounds maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'Pesticide handlers, sprayers, and applicators, vegetation',","'Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification.',","'38',","'40.7',","'2.7',","'7',","'18.9',","'4.9',","'33740',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
37-3013.00,Engineering,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Building and grounds cleaning and maintenance,29,Tree trimmers and pruners,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts.",54.5,60.3,5.8,10.7,22.9,7.4,35030,High school diploma or equivalent,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-3013.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Grounds maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'Tree trimmers and pruners',","'Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts.',","'54.5',","'60.3',","'5.8',","'10.7',","'22.9',","'7.4',","'35030',","'High school diploma or equivalent',","'None',",'Short-term on-the-job training');
37-3019.00,Engineering,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Building and grounds cleaning and maintenance,29,"Grounds maintenance workers, all other",All grounds maintenance workers not listed separately.,18.9,20.5,1.6,8.5,16,2.5,28470,No formal educational credential,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'37-3019.00',","'Engineering',","'Building and grounds cleaning and maintenance occupations',","'Grounds maintenance workers',","'Building and grounds cleaning and maintenance',","'29',","'Grounds maintenance workers, all other',","'All grounds maintenance workers not listed separately.',","'18.9',","'20.5',","'1.6',","'8.5',","'16',","'2.5',","'28470',","'No formal educational credential',","'None',",'Short-term on-the-job training');
39-1011.00,Service,Personal care and service occupations,Supervisors of personal care and service workers,Supervisors of personal care and service workers,30,Gaming supervisors,Supervise and coordinate activities of workers in assigned gaming areas. Circulate among tables and observe operations. Ensure that stations and games are covered for each shift. May explain and interpret operating rules of house to patrons. May plan and organize activities and services for guests in hotels/casinos. May address service complaints.,38.5,39.9,1.3,3.5,41.7,6.2,50520,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-1011.00',","'Service',","'Personal care and service occupations',","'Supervisors of personal care and service workers',","'Supervisors of personal care and service workers',","'30',","'Gaming supervisors',","'Supervise and coordinate activities of workers in assigned gaming areas. Circulate among tables and observe operations. Ensure that stations and games are covered for each shift. May explain and interpret operating rules of house to patrons. May plan and organize activities and services for guests in hotels/casinos. May address service complaints.',","'38.5',","'39.9',","'1.3',","'3.5',","'41.7',","'6.2',","'50520',","'High school diploma or equivalent',","'Less than 5 years',",'None');
39-1012.00,Service,Personal care and service occupations,Supervisors of personal care and service workers,Supervisors of personal care and service workers,30,Slot supervisors,Supervise and coordinate activities of slot department workers to provide service to patrons. Handle and settle complaints of players. Verify and pay off jackpots. Reset slot machines after payoffs. Make repairs or adjustments to slot machines or recommend removal of slot machines for repair. Report hazards and enforce safety rules.,12.1,12.6,0.5,4.3,35.5,2,36080,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-1012.00',","'Service',","'Personal care and service occupations',","'Supervisors of personal care and service workers',","'Supervisors of personal care and service workers',","'30',","'Slot supervisors',","'Supervise and coordinate activities of slot department workers to provide service to patrons. Handle and settle complaints of players. Verify and pay off jackpots. Reset slot machines after payoffs. Make repairs or adjustments to slot machines or recommend removal of slot machines for repair. Report hazards and enforce safety rules.',","'12.1',","'12.6',","'0.5',","'4.3',","'35.5',","'2',","'36080',","'High school diploma or equivalent',","'Less than 5 years',",'None');
39-1021.00,Service,Personal care and service occupations,Supervisors of personal care and service workers,Supervisors of personal care and service workers,30,First-line supervisors of personal service workers,"Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies.",276.1,312,35.9,13,26.2,30.9,36700,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-1021.00',","'Service',","'Personal care and service occupations',","'Supervisors of personal care and service workers',","'Supervisors of personal care and service workers',","'30',","'First-line supervisors of personal service workers',","'Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies.',","'276.1',","'312',","'35.9',","'13',","'26.2',","'30.9',","'36700',","'High school diploma or equivalent',","'Less than 5 years',",'None');
39-2011.00,Service,Personal care and service occupations,Animal care and service workers,Animal care and service workers,31,Animal trainers,"Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities. Accustom animals to human voice and contact; and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.",54.9,60.7,5.9,10.7,46.8,7,27690,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-2011.00',","'Service',","'Personal care and service occupations',","'Animal care and service workers',","'Animal care and service workers',","'31',","'Animal trainers',","'Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities. Accustom animals to human voice and contact; and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.',","'54.9',","'60.7',","'5.9',","'10.7',","'46.8',","'7',","'27690',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
39-2021.00,Service,Personal care and service occupations,Animal care and service workers,Animal care and service workers,31,Nonfarm animal caretakers,"Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",241.5,294.4,52.8,21.9,18.3,45.2,21990,High school diploma or equivalent,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-2021.00',","'Service',","'Personal care and service occupations',","'Animal care and service workers',","'Animal care and service workers',","'31',","'Nonfarm animal caretakers',","'Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.',","'241.5',","'294.4',","'52.8',","'21.9',","'18.3',","'45.2',","'21990',","'High school diploma or equivalent',","'None',",'Short-term on-the-job training');
39-3011.00,Service,Personal care and service occupations,Entertainment attendants and related workers,Entertainment attendants and related workers,32,Gaming dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gaming equipment. Distribute winnings or collect players'' money or chips. May compare the house''s hand against players'' hands.",96.9,98,1.1,1.1,1.2,14.5,19290,High school diploma or equivalent,None,Short-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'39-3011.00',","'Service',","'Personal care and service occupations',","'Entertainment attendants and related workers',","'Entertainment attendants and related workers',","'32',","'Gaming dealers',","'Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gaming equipment. Distribute winnings or collect players'' money or chips. May compare the house''s hand against players'' hands.',","'96.9',","'98',","'1.1',","'1.1',","'1.2',","'14.5',","'19290',","'High school diploma or equivalent',","'None',",'Short-term on-the-job training');
